SEQ_VALUE,MSG_TIME_STAMP,HEAT_NUMBER,AGGREGATE,AL_KGS,AL_MTS,MSG_FLAG,UPDATE_DATE
7784,2022-04-02 16:27:29.890,22401688,LF4,217.955109094737,653.86532728421,C,2022-04-02 16:27:39.507
7783,2022-04-02 16:19:29.997,22101625,LF1,249.132558336842,747.397675010526,C,2022-04-02 16:19:39.540
7782,2022-04-02 15:41:25.293,22401687,LF4,208.880250136842,626.640750410526,C,2022-04-02 15:41:39.477
7781,2022-04-02 15:20:49.933,22201626,LF2,57.9256070210526,173.776821063158,C,2022-04-02 15:21:09.893
7780,2022-04-02 14:19:30.717,22401686,LF4,204.589442405263,613.76832721579,C,2022-04-02 14:19:39.427
7779,2022-04-02 14:05:30.737,22101624,LF1,191.067764321053,573.203292963158,C,2022-04-02 14:05:39.340
7778,2022-04-02 13:12:13.207,22301647,LF3,135.498525921053,406.495577763158,C,2022-04-02 13:12:39.393
7777,2022-04-02 13:00:11.637,22101623,LF1,210.743565210526,632.230695631579,C,2022-04-02 13:00:39.347
7776,2022-04-02 12:10:12.800,22201624,LF2,111.325892978947,333.977678936842,C,2022-04-02 12:10:39.340
7775,2022-04-02 02:42:13.843,22301639,LF3,204.5240336,613.5721008,C,2022-04-02 02:42:38.780
7774,2022-04-02 02:36:13.760,22101614,LF1,382.306151242105,1146.91845372632,C,2022-04-02 02:36:38.757
7773,2022-04-02 02:09:30.117,22401677,LF4,161.054262421053,483.162787263158,C,2022-04-02 02:09:38.733
7772,2022-04-02 01:48:50.120,22101613,LF1,149.8649838,449.5949514,C,2022-04-02 01:49:08.767
7771,2022-04-02 01:18:35.140,22401676,LF4,187.352076021053,562.056228063158,C,2022-04-02 01:18:38.797
7770,2022-04-02 00:58:53.213,22201615,LF2,332.772571142105,998.317713426316,C,2022-04-02 00:59:09.090
7769,2022-04-02 00:18:12.140,22301637,LF3,229.040007536842,687.120022610526,C,2022-04-02 00:18:38.597
7768,2022-04-02 00:12:12.850,22101612,LF1,111.883644,335.650932,C,2022-04-02 00:12:38.687
7767,2022-04-01 23:41:30.110,22401675,LF4,154.967024778947,464.901074336842,C,2022-04-01 23:41:38.700
7766,2022-04-01 23:06:50.100,22301636,LF3,160.886691689474,482.660075068421,C,2022-04-01 23:07:09.217
7765,2022-04-01 22:31:35.130,22201613,LF2,242.597781378947,727.793344136842,C,2022-04-01 22:31:38.463
7764,2022-04-01 22:19:05.130,22401674,LF4,37.1568490210526,111.470547063158,C,2022-04-01 22:19:08.623
7763,2022-04-01 21:34:50.100,22301635,LF3,140.452098189474,421.356294568421,C,2022-04-01 21:35:08.500
7762,2022-04-01 21:19:35.117,22201612,LF2,162.926081421053,488.778244263158,C,2022-04-01 21:19:38.557
7761,2022-04-01 20:54:12.733,22401673,LF4,211.650614689474,634.951844068421,C,2022-04-01 20:54:38.530
7760,2022-04-01 20:11:30.120,22101609,LF1,244.207228336842,732.621685010526,C,2022-04-01 20:11:38.483
7759,2022-04-01 19:48:50.110,22301634,LF3,0,0,C,2022-04-01 19:49:08.517
7758,2022-04-01 19:35:35.127,22201611,LF2,166.797942721053,500.393828163158,C,2022-04-01 19:35:38.460
7757,2022-04-01 19:12:49.893,22401672,LF4,159.892789821053,479.678369463158,C,2022-04-01 19:13:08.400
7756,2022-04-01 18:25:30.457,22301633,LF3,81.1393279789474,243.417983936842,C,2022-04-01 18:25:38.207
7755,2022-04-01 18:21:30.513,22201610,LF2,175.832083221053,527.496249663158,C,2022-04-01 18:21:38.393
7754,2022-04-01 17:37:35.457,22301632,LF3,154.6538352,463.9615056,C,2022-04-01 17:37:38.290
7753,2022-04-01 17:30:50.457,22101607,LF1,190.359630010526,571.078890031579,C,2022-04-01 17:31:08.363
7752,2022-04-01 16:59:05.437,22201609,LF2,197.4107947,592.2323841,C,2022-04-01 16:59:08.307
7751,2022-04-01 16:41:35.457,22301631,LF3,149.507818821053,448.523456463158,C,2022-04-01 16:41:38.360
7750,2022-04-01 16:14:05.457,22101606,LF1,102.128242605263,306.384727815789,C,2022-04-01 16:14:08.207
7749,2022-04-01 15:59:05.457,22201608,LF3,327.033107863158,981.099323589474,C,2022-04-01 15:59:08.217
