SEQ_VALUE,MSG_TIME_STAMP,HEAT_NUMBER,AGGREGATE,AL_KGS,AL_MTS,MSG_FLAG,UPDATE_DATE
7551,2022-03-29 19:04:15.583,22401617,LF4,92.7844178315789,278.353253494737,C,2022-03-29 19:04:44.140
7550,2022-03-29 18:44:57.657,22101550,LF1,156.104004989474,468.312014968421,C,2022-03-29 18:45:14.700
7549,2022-03-29 17:50:16.150,22201552,LF2,135.573617889474,406.720853668421,C,2022-03-29 17:50:43.893
7548,2022-03-29 17:47:36.120,22401616,LF4,170.528392190289,511.585176570868,C,2022-03-29 17:47:44.100
7547,2022-03-29 17:09:35.287,22101549,LF1,125.907192489474,377.721577468421,C,2022-03-29 17:09:44.113
7546,2022-03-29 16:38:16.260,22401615,LF4,140.352572589474,421.057717768421,C,2022-03-29 16:38:44.010
7545,2022-03-29 15:49:36.147,22101548,LF1,215.5572432,646.6717296,C,2022-03-29 15:49:43.857
7544,2022-03-29 15:43:35.960,22301576,LF3,15.6403757890895,46.9211273672686,C,2022-03-29 15:43:44.450
7543,2022-03-29 15:24:15.973,22201550,LF2,257.999871189474,773.999613568421,C,2022-03-29 15:24:43.927
7542,2022-03-29 15:02:40.970,22301575,LF3,194.454693694737,583.36408108421,C,2022-03-29 15:02:44.030
7541,2022-03-29 14:41:39.943,22401613,LF1,149.439574489474,448.318723468421,C,2022-03-29 14:41:43.897
7540,2022-03-29 13:52:25.200,22301573,LF3,167.227107101989,501.681321305968,C,2022-03-29 13:52:43.710
7539,2022-03-29 13:47:35.063,22201549,LF2,57.7655684894737,173.296705468421,C,2022-03-29 13:47:43.860
7538,2022-03-29 13:00:55.160,22101546,LF1,141.344148878489,424.032446635468,C,2022-03-29 13:01:13.727
7537,2022-03-29 12:50:16.713,22401612,LF4,142.3229206,426.9687618,C,2022-03-29 12:50:43.797
7536,2022-03-29 12:41:00.540,22201548,LF2,164.519644910526,493.558934731579,C,2022-03-29 12:41:13.853
7535,2022-03-29 11:53:35.110,22401611,LF4,156.890303821053,470.670911463158,C,2022-03-29 11:53:43.570
7534,2022-03-29 11:52:55.110,22101545,LF1,286.853565015789,860.560695047368,C,2022-03-29 11:53:13.717
7533,2022-03-29 11:14:13.420,22301572,LF3,191.654445336842,574.963336010526,C,2022-03-29 11:14:13.663
7532,2022-03-29 10:56:16.180,22101544,LF1,279.581231610526,838.743694831579,C,2022-03-29 10:56:43.717
7531,2022-03-29 10:26:55.160,22401610,LF4,85.307990131579,255.923970394737,C,2022-03-29 10:27:13.620
7530,2022-03-29 10:02:15.410,22301571,LF1,65.1043304157895,195.312991247368,C,2022-03-29 10:02:43.603
7529,2022-03-29 09:28:13.390,22101543,LF1,105.095771547289,315.287314641868,C,2022-03-29 09:28:13.590
7528,2022-03-29 09:08:16.240,22401609,LF4,20.807593131579,62.4227793947369,C,2022-03-29 09:08:43.557
7527,2022-03-29 08:14:55.133,22101542,LF1,115.920763589474,347.762290768421,C,2022-03-29 08:15:18.200
7526,2022-03-29 07:30:55.053,22401608,LF4,35.107245431579,105.321736294737,C,2022-03-29 07:31:14.840
7525,2022-03-29 07:20:55.090,22301569,LF3,315.417430010526,946.252290031579,C,2022-03-29 07:21:13.340
7524,2022-03-29 07:16:13.340,22201546,LF2,134.212928015789,402.638784047368,C,2022-03-29 07:16:43.500
7523,2022-03-29 06:59:25.180,22401607,LF4,50.598494031579,151.795482094737,C,2022-03-29 06:59:43.473
7522,2022-03-29 06:31:36.073,22101541,LF1,33.7468852,101.2406556,C,2022-03-29 06:31:43.403
7521,2022-03-29 05:46:57.330,22301568,LF3,160.712382689474,482.137148068421,C,2022-03-29 05:47:13.313
7520,2022-03-29 05:32:57.240,22201545,LF2,130.5980834,391.7942502,C,2022-03-29 05:33:13.223
7519,2022-03-29 05:28:15.990,22101540,LF1,277.298908052632,831.896724157895,C,2022-03-29 05:28:43.370
7518,2022-03-29 04:49:35.860,22401606,LF4,155.380866789474,466.142600368421,C,2022-03-29 04:49:43.337
7517,2022-03-29 03:46:53.157,22401605,LF4,126.8560748,380.5682244,C,2022-03-29 03:47:13.410
7516,2022-03-29 03:42:25.177,22101539,LF1,88.2533532,264.7600596,C,2022-03-29 03:42:43.230
7515,2022-03-29 03:36:40.940,22201543,LF2,17.179647931579,51.538943794737,C,2022-03-29 03:36:43.573
7514,2022-03-29 02:55:34.880,22401604,LF4,138.367397789474,415.102193368421,C,2022-03-29 02:55:43.250
7513,2022-03-29 02:25:25.163,22101538,LF1,171.8796824,515.6390472,C,2022-03-29 02:25:43.140
7512,2022-03-29 02:08:13.350,22301565,LF3,152.9815574,458.9446722,C,2022-03-29 02:08:43.250
7511,2022-03-29 01:36:41.030,22101537,LF1,130.735208778947,392.205626336842,C,2022-03-29 01:36:43.200
7510,2022-03-29 01:02:55.100,22301564,LF3,202.357809,607.073427,C,2022-03-29 01:03:13.110
7509,2022-03-29 00:51:25.253,22201541,LF2,38.13027,114.39081,C,2022-03-29 00:51:43.083
7508,2022-03-28 23:58:57.430,22101536,LF1,150.613776021053,451.841328063158,C,2022-03-28 23:59:13.207
7507,2022-03-28 23:57:41.030,22301563,LF3,172.726971,518.180913,C,2022-03-28 23:57:43.020
7506,2022-03-28 22:57:34.980,22401601,LF4,130.646045278947,391.938135836842,C,2022-03-28 22:57:43.157
7505,2022-03-28 22:27:34.903,22301562,LF3,105.087174715789,315.261524147368,C,2022-03-28 22:27:42.907
7504,2022-03-28 22:06:25.180,22201539,LF2,115.666729094737,347.00018728421,C,2022-03-28 22:06:42.897
7503,2022-03-28 21:39:34.980,22401600,LF4,38.4861890947368,115.45856728421,C,2022-03-28 21:39:43.027
7502,2022-03-28 21:08:25.250,22201538,LF2,173.384427684211,520.153283052632,C,2022-03-28 21:08:42.787
7501,2022-03-28 21:07:25.210,22301561,LF3,117.887795578947,353.663386736842,C,2022-03-28 21:07:42.977
7500,2022-03-28 20:17:36.093,22101533,LF1,130.061884115789,390.185652347368,C,2022-03-28 20:17:42.857
7499,2022-03-28 19:51:36.113,22201537,LF2,168.073638884211,504.220916652632,C,2022-03-28 19:51:42.827
7498,2022-03-28 19:18:16.217,22401598,LF4,103.798463494737,311.395390484211,C,2022-03-28 19:18:42.857
7497,2022-03-28 19:01:34.977,22201536,LF2,179.766575547368,539.299726642105,C,2022-03-28 19:01:42.843
7496,2022-03-28 18:36:25.237,22301559,LF3,38.2735866,114.8207598,C,2022-03-28 18:36:42.763
7495,2022-03-28 18:26:40.060,22401597,LF4,14.3750719,43.1252157,C,2022-03-28 18:26:42.887
7494,2022-03-28 18:04:57.480,22101531,LF1,114.491427894737,343.47428368421,C,2022-03-28 18:05:12.680
7493,2022-03-28 17:26:15.923,22201535,LF2,201.503584336842,604.510753010526,C,2022-03-28 17:26:42.743
7492,2022-03-28 17:02:13.640,22101530,LF1,88.4860779999997,265.458233999999,C,2022-03-28 17:02:42.637
7491,2022-03-28 16:59:35.650,22301558,LF3,164.582912621053,493.748737863158,C,2022-03-28 16:59:42.717
7490,2022-03-28 16:21:25.263,22301557,LF1,172.519142184211,517.557426552632,C,2022-03-28 16:21:42.520
7489,2022-03-28 16:16:17.130,22201534,LF2,286.993943342105,860.981830026316,C,2022-03-28 16:16:42.593
7488,2022-03-28 15:46:28.897,22401596,LF4,115.719104,347.157312,C,2022-03-28 15:46:42.637
7487,2022-03-28 14:47:34.993,22201533,LF2,17.0465745789474,51.1397237368421,C,2022-03-28 14:47:42.950
7486,2022-03-28 14:44:54.980,22401595,LF4,147.863534,443.590602,C,2022-03-28 14:45:16.663
7485,2022-03-28 14:16:02.330,22101528,LF1,205.705431684211,617.116295052632,C,2022-03-28 14:16:12.687
7484,2022-03-28 13:58:15.650,22401594,LF4,172.5585588,517.6756764,C,2022-03-28 13:58:42.473
7483,2022-03-28 13:28:57.293,22201532,LF2,75.4037223789474,226.211167136842,C,2022-03-28 13:29:12.813
7482,2022-03-28 13:23:13.183,22301555,LF3,140.9681604,422.9044812,C,2022-03-28 13:23:42.333
7481,2022-03-28 13:22:57.417,22101527,LF1,48.3043794000001,144.9131382,C,2022-03-28 13:23:13.140
7480,2022-03-28 12:30:57.520,22201531,LF2,98.0126241789474,294.037872536842,C,2022-03-28 12:31:12.660
7479,2022-03-28 12:13:35.653,22401593,LF4,118.883795715789,356.651387147368,C,2022-03-28 12:13:42.290
7478,2022-03-28 12:09:13.523,22101526,LF1,117.054322578947,351.162967736842,C,2022-03-28 12:09:42.340
7477,2022-03-28 11:28:55.057,22201530,LF2,119.671125315789,359.013375947368,C,2022-03-28 11:29:12.667
7476,2022-03-28 11:26:25.333,22301554,LF3,107.636044,322.908132,C,2022-03-28 11:26:42.360
7475,2022-03-28 11:02:57.373,22401592,LF4,63.1966375157895,189.589912547368,C,2022-03-28 11:03:12.777
7474,2022-03-28 11:02:13.263,22101525,LF1,204.890155884211,614.670467652631,C,2022-03-28 11:02:42.413
7473,2022-03-28 10:31:34.267,22301553,LF3,168.623318021053,505.869954063158,C,2022-03-28 10:31:42.273
