SEQ_VALUE,MSG_TIME_STAMP,MSG_FLAG,HEAT_NUMBER,GRADE_TYPE,LM_START_WT,TAP_O2,O2AFTERCELOX,LTA,FIRSTMEASTEMP,STATION,LIME,SIMN,ALBAR
33521837,2022-02-10 20:29:23.643,N,22100707,JDT0550DCN,183,474,344,132.1,1528,5,316,1755,22
33521606,2022-02-10 20:24:53.630,N,22200717,JDHCG04BCN,203,1157,0,93.92,1599,2,849,NULL,418
33521467,2022-02-10 20:21:53.627,N,22300740,JDHCG04BCN,184,966,0,116.1,1562,3,928,NULL,396
33521206,2022-02-10 20:16:53.637,N,22400754,JDHCG04ACN,205,1000,0,0,0,4,1246,NULL,0
33521106,2022-02-10 20:14:23.607,N,22200717,JDHCG04ACN,203,1157,0,0,1599,2,849,NULL,418
33521009,2022-02-10 20:12:53.617,N,22200717,JDHCG04ACN,203,1157,0,0,0,2,849,NULL,0
33520797,2022-02-10 20:09:23.607,N,22100707,JDT0550DCN,183,474,344,132.1,0,5,316,1755,0
33520645,2022-02-10 20:05:53.657,N,22300740,JDHCG04BCN,184,966,0,116.1,1562,3,928,NULL,396
33520539,2022-02-10 20:03:53.613,N,22200716,JDHCG04B1N,188,1132,56,21.67,1565,1,2288,NULL,396
33520528,2022-02-10 20:03:23.610,N,22300739,JDT0550DCN,168,405,192,91.62,1531,5,484,1785,88
33520155,2022-02-10 19:55:53.640,N,22300740,JDHCG04BCN,184,966,0,0,1562,3,928,NULL,396
33520139,2022-02-10 19:55:53.633,N,22200716,JDHCG04B1N,188,1132,56,21.67,1565,1,2288,NULL,396
33519857,2022-02-10 19:50:23.600,N,22300740,JDHCG04ACN,184,966,0,0,0,3,928,NULL,0
33519591,2022-02-10 19:44:53.600,N,22200716,JDHCG04B1N,188,1132,56,21.67,0,1,2288,NULL,396
33519566,2022-02-10 19:44:23.597,N,22100707,JDTL0550DN,183,474,344,0,0,1,316,1755,0
33519557,2022-02-10 19:44:23.593,N,22100707,JDTL0550DN,183,474,344,0,0,1,316,1755,0
33519389,2022-02-10 19:40:53.600,N,22200716,JDHCG04B1N,188,1132,56,21.67,1633,2,959,NULL,396
33518791,2022-02-10 19:27:53.567,N,22200716,JDHCG04B1N,188,1132,56,21.67,1633,2,959,NULL,396
33518633,2022-02-10 19:24:23.560,N,22400753,JDHCG04B1N,191,992,0,72.97,1584,4,1013,232,418
33518245,2022-02-10 19:17:23.553,N,22400753,JDHCG04B1N,191,992,0,72.97,1584,4,1013,232,418
33517816,2022-02-10 19:08:53.547,N,22100706,JDHCG04B1N,187,717,201,133.97,1576,1,1090,NULL,396
33517786,2022-02-10 19:08:23.547,N,22300739,JDT0550DCN,168,405,192,91.62,1531,5,484,1785,88
33517618,2022-02-10 19:04:53.563,N,22200716,JDHCG04ACN,188,1132,56,21.67,0,2,959,NULL,0
33517502,2022-02-10 19:02:53.553,N,22300739,JDT0550DCN,168,405,192,91.62,0,5,484,1785,88
33517313,2022-02-10 18:59:23.533,N,22300738,JDTL0550DN,197,723,0,73.12,1539,5,489,1928,44
33517089,2022-02-10 18:54:53.540,N,22400753,JDHCG04B1N,191,992,0,0,1584,4,1013,232,418
33516946,2022-02-10 18:51:23.537,N,22400753,JDHCG04B1N,191,992,0,0,0,4,1013,232,0
33516257,2022-02-10 18:36:23.523,N,22400752,JDHCG04B1N,194,778,125,0,1578,4,1012,241,418
33516161,2022-02-10 18:34:53.510,N,22100706,JDHCG04B1N,187,717,201,133.97,1576,1,1090,NULL,396
33516032,2022-02-10 18:32:23.520,N,22100706,JDBPS500DZ,187,717,201,0,0,1,1090,NULL,0
33516004,2022-02-10 18:31:53.520,N,22300739,JDTH550DCN,168,405,192,92.92,0,3,484,1785,88
33515820,2022-02-10 18:27:53.520,N,22300739,JDHCG04ACN,168,405,192,0,0,3,484,1785,0
33515588,2022-02-10 18:24:23.513,N,22200715,JDHCG04B1N,190,1013,92,35.5,1607,2,1142,NULL,396
33514902,2022-02-10 18:10:53.483,N,22200715,JDHCG04B1N,190,1013,92,35.5,1607,2,1142,NULL,396
33514748,2022-02-10 18:07:53.493,N,22300738,JDTL0550DN,196,723,0,73.12,1539,5,489,1928,44
33514463,2022-02-10 18:01:53.503,N,22300738,JDTL0550DN,196,723,0,73.12,0,5,489,1928,44
33514438,2022-02-10 18:01:23.497,N,22200715,JDHCG04ACN,190,1013,92,0,1607,2,1142,NULL,0
33514343,2022-02-10 17:59:23.477,N,22200715,JDHCG04ACN,190,1013,92,0,0,2,1142,NULL,0
33514150,2022-02-10 17:55:23.500,N,22100705,JDHCG04B1N,190,906,149,47.9,1577,1,1225,NULL,374
33514116,2022-02-10 17:54:53.493,N,22400752,JDHCG04B1N,194,778,125,0,1578,4,1012,241,418
33514031,2022-02-10 17:53:23.497,N,22200714,JDTL0550DN,200,1266,0,89.13,1602,5,460,1778,22
33513904,2022-02-10 17:50:53.497,N,22400752,JDHCG04B1N,194,778,125,0,0,4,1012,241,0
33513711,2022-02-10 17:46:23.477,N,22300738,JDTL0550DN,207,723,0,73.12,0,3,489,1726,44
33513402,2022-02-10 17:40:23.473,N,22300738,JDTL0550DN,207,723,0,73.12,0,3,489,1726,44
33513075,2022-02-10 17:33:23.493,N,22300738,JDTL0550DN,185,723,0,0,0,3,489,1726,44
33512968,2022-02-10 17:31:23.480,N,22300738,JDHCG04ACN,185,723,0,0,0,3,489,1726,0
33512568,2022-02-10 17:22:53.447,N,22100705,JDHCG04B1N,189,906,149,47.9,1577,1,1225,NULL,374
33512476,2022-02-10 17:20:53.527,N,22100705,JDTL0550DN,189,906,149,0,0,1,1225,NULL,0
33512460,2022-02-10 17:20:53.490,N,22400751,JDHCG04B1N,200,821,64,105.08,1566,4,1009,232,330
33512459,2022-02-10 17:20:53.433,N,22200714,JDTL0550DN,199,1266,0,89.13,1602,5,460,1778,22
33511893,2022-02-10 17:10:23.420,N,22100704,JDHCG04B1N,170,1090,0,111.67,1577,2,2154,NULL,440
33511439,2022-02-10 17:01:53.430,N,22100704,JDHCG04B1N,170,1090,0,111.67,1577,2,2154,NULL,440
33511390,2022-02-10 17:00:53.417,N,22200714,JDTL0550DN,199,1266,0,89.13,1602,5,460,1778,0
33511367,2022-02-10 17:00:23.420,N,22400751,JDHCG04B1N,200,821,64,105.08,1566,4,1009,232,330
33511246,2022-02-10 16:57:53.423,N,22100704,JDHCG04B1N,170,1090,0,111.67,0,2,2154,NULL,440
33511175,2022-02-10 16:56:23.413,N,22100704,JDHCG04B1N,170,1090,0,136.97,1554,1,1311,NULL,440
33511118,2022-02-10 16:54:53.420,N,22200714,JDTL0550DN,199,1266,0,89.13,0,5,460,1778,0
33510770,2022-02-10 16:46:23.427,N,22200714,JDTL0550DN,199,1266,0,92.3,0,2,460,1778,0
33510760,2022-02-10 16:46:23.407,N,22400751,JDHCG04B1N,200,821,64,0,1566,4,1009,232,330
33510715,2022-02-10 16:45:23.423,N,22200714,JDHSH41AMN,199,1266,0,92.3,0,2,460,1778,0
33510670,2022-02-10 16:44:23.413,N,22400751,JDHCG04ACN,200,821,64,0,0,4,1009,232,0
33510572,2022-02-10 16:41:53.407,N,22100704,JDHCG04B1N,170,1090,0,136.97,1554,1,1311,NULL,440
33510499,2022-02-10 16:40:53.410,N,22200713,JDTL0550DN,194,891,68,121.43,1570,5,459,1780,22
33510442,2022-02-10 16:39:53.413,N,22300737,JDHCG04B1N,179,709,120,77.4,1561,3,929,184,396
33509476,2022-02-10 16:21:53.393,N,22100704,JDTL0550DN,170,1090,0,0,1554,1,1311,NULL,0
33509290,2022-02-10 16:18:23.380,N,22200713,JDTL0550DN,192,891,68,121.43,1570,5,459,1780,22
33509266,2022-02-10 16:17:53.377,N,22100704,JDTL0550DN,170,1090,0,0,0,1,1311,NULL,0
33509206,2022-02-10 16:16:53.383,N,22400750,JDHCG04B1N,186,851,0,90.95,1601,1,1892,225,396
33508627,2022-02-10 16:05:23.383,N,22300737,JDHCG04B1N,179,709,120,77.4,1561,3,929,184,396
33508365,2022-02-10 15:59:53.360,N,22300737,JDHCG04B1N,179,709,120,0,0,3,929,184,0
33508142,2022-02-10 15:55:23.360,N,22400750,JDHCG04B1N,186,851,0,90.95,1601,1,1892,225,396
33508070,2022-02-10 15:54:23.380,N,22400750,JDHCG04B1N,186,851,0,90.95,0,1,1892,225,396
33508066,2022-02-10 15:54:23.367,N,22200713,JDHCG04B1N,192,891,68,121.43,1570,5,459,1780,0
33508022,2022-02-10 15:53:23.353,N,22400750,JDHCG04B1N,186,851,0,90.95,1555,4,1219,225,396
33507796,2022-02-10 15:47:53.347,N,22200713,JDHCG04B1N,192,891,68,121.43,0,5,459,1780,0
33507617,2022-02-10 15:44:53.350,N,22100703,JDHCG04B1N,173,1019,0,68.88,1573,1,2405,NULL,396
33507261,2022-02-10 15:36:53.350,N,22200713,JDHCG04B1N,192,891,68,0,0,2,459,1780,0
33507224,2022-02-10 15:36:23.350,N,22300736,JDTL0550DN,176,1060,0,152.42,1542,5,487,1771,22
33507193,2022-02-10 15:35:53.390,N,22200713,JDHCG04B1N,192,891,68,0,0,2,459,1780,0
33506951,2022-02-10 15:30:53.340,N,22300736,JDTL0550DN,175,1060,0,152.42,1542,5,487,1771,22
33506791,2022-02-10 15:27:23.343,N,22400750,JDHCG04B1N,186,851,0,90.95,1555,4,1219,225,396
33506451,2022-02-10 15:21:23.450,N,22400750,JDT0550DCN,186,851,0,90.95,0,4,1219,225,0
33505992,2022-02-10 15:11:53.327,N,22100703,JDHCG04B1N,173,1019,0,68.88,1573,1,2405,NULL,396
33505855,2022-02-10 15:08:53.313,N,22400749,JDHCG04B1N,214,1000,0,55.62,1538,4,1026,196,396
33505774,2022-02-10 15:06:53.320,N,22100703,JDHCG04B1N,173,1019,0,68.88,0,1,2405,NULL,0
33505656,2022-02-10 15:05:23.340,N,22300736,JDTL0550DN,175,1060,0,152.42,1542,5,487,1771,0
33505429,2022-02-10 15:00:23.327,N,22300736,JDTL0550DN,175,1060,0,152.42,0,5,487,1771,0
33505211,2022-02-10 14:54:53.327,N,22200712,JDHCG04B1N,192,1108,0,56.1,1599,2,959,NULL,440
33505042,2022-02-10 14:51:23.320,N,22400749,JDHCG04B1N,214,1000,0,55.62,1538,4,1026,196,396
33504913,2022-02-10 14:48:23.327,N,22300736,JDTL0550DN,175,1060,0,157.97,0,3,487,1771,0
33504905,2022-02-10 14:48:23.323,N,22300736,JDTL0550DN,175,1060,0,157.97,0,3,487,1771,0
33504570,2022-02-10 14:40:53.313,N,22200712,JDHCG04B1N,192,1108,0,56.1,1599,2,959,NULL,440
33504113,2022-02-10 14:30:53.297,N,22400749,JDHCG04B1N,214,1000,0,55.62,1538,4,1026,196,0
33503989,2022-02-10 14:28:23.293,N,22400749,JDHWT41AMN,214,1000,0,55.62,0,4,1026,196,0
33503657,2022-02-10 14:20:53.280,N,22100701,JDHCG04B1N,181,623,313,0,1528,3,1569,NULL,396
33503583,2022-02-10 14:19:23.290,N,22200712,JDHCG04B1N,192,1108,0,56.1,1599,2,959,NULL,0
33503249,2022-02-10 14:10:23.270,N,22200712,JDHCG04B1N,192,1108,0,56.1,0,2,959,NULL,0
33503190,2022-02-10 14:09:23.267,N,22300735,JDTL0550DN,192,854,74,507.42,1537,5,489,1964,110
33503118,2022-02-10 14:07:53.253,N,22100702,JDHCG04B1N,194,1127,0,58.43,1591,1,1093,NULL,418
33502160,2022-02-10 13:49:53.260,N,22100702,JDHCG04B1N,194,1127,0,58.43,1591,1,1093,NULL,418
33501552,2022-02-10 13:37:53.250,N,22100702,JDHWT41AMN,194,1127,0,58.43,1591,1,1093,NULL,0
33501473,2022-02-10 13:35:53.250,N,22100702,JDHWT41AMN,194,1127,0,103.43,0,1,1093,NULL,0
33500994,2022-02-10 13:26:23.223,N,22300735,JDTL0550DN,191,854,74,507.42,1537,5,489,1964,110
33500879,2022-02-10 13:23:53.237,N,22200711,JDHCG04B1N,185,984,111,70.47,1612,2,459,147,396
33500851,2022-02-10 13:23:23.233,N,22100701,JDHCG04B1N,181,623,313,0,1528,3,1569,NULL,396
33500736,2022-02-10 13:21:23.223,N,22100701,JDHCG04B1N,181,623,313,0,0,3,1569,NULL,396
33500655,2022-02-10 13:19:23.230,N,22400748,JDHCG04B1N,191,1040,0,86,1580,4,1011,171,396
33500549,2022-02-10 13:17:23.227,N,22300735,JDTL0550DN,191,854,74,507.42,0,5,489,1964,110
33500234,2022-02-10 13:11:23.210,N,22200710,JDTL0550DN,183,857,0,90.83,1569,5,457,1778,22
33499992,2022-02-10 13:06:23.213,N,22200711,JDHCG04B1N,185,984,111,70.47,1612,2,459,147,396
33499554,2022-02-10 12:56:53.193,N,22300735,JDTL0550DN,191,854,74,507.42,0,3,489,1866,110
33499455,2022-02-10 12:55:53.190,N,22300735,JDHCG04B1N,191,854,74,507.42,0,3,489,1866,0
33499327,2022-02-10 12:53:53.187,N,22200711,JDHCG04B1N,185,984,111,0,1612,2,459,147,396
33499280,2022-02-10 12:53:23.173,N,22200711,JDHCG04B1N,185,984,111,0,0,2,459,147,0
33499155,2022-02-10 12:50:53.190,N,22100701,JDHCG04B1N,181,623,313,0,1534,1,1093,NULL,396
33499007,2022-02-10 12:47:53.187,N,22400748,JDHCG04B1N,190,1040,0,86,1580,4,1011,171,396
33498673,2022-02-10 12:41:53.183,N,22400748,JDHCG04ACN,190,1040,0,0,0,4,1011,171,0
33498522,2022-02-10 12:38:53.203,N,22400747,JDHSG37AMZ,194,895,432,71.02,0,4,2446,109,396
33498515,2022-02-10 12:38:53.173,N,22100701,JDHCG04B1N,181,623,313,0,1534,1,1093,NULL,0
33498490,2022-02-10 12:38:23.207,N,22400747,JDHSG37AMZ,194,895,432,71.02,0,4,2446,109,396
33498469,2022-02-10 12:38:23.183,N,22400747,JDHSG37AMZ,194,895,432,71.02,1581,4,1135,NULL,396
33498118,2022-02-10 12:30:53.177,N,22200710,JDTL0550DN,182,857,0,90.83,1569,5,457,1778,22
33498116,2022-02-10 12:30:53.163,N,22100701,JDHCG04B1N,181,623,313,0,0,1,1093,NULL,0
33497817,2022-02-10 12:24:23.167,N,22200710,JDTL0550DN,182,857,0,90.83,0,5,457,1778,0
33497788,2022-02-10 12:23:53.190,N,22100699,JDTL0550DN,188,828,0,0,0,5,1184,1975,22
33497778,2022-02-10 12:23:53.167,N,22100699,JDTL0550DN,188,828,0,0,0,5,1184,1975,22
33497528,2022-02-10 12:16:53.153,N,22100699,JDTL0550DN,188,828,0,0,1535,5,730,1600,22
33497305,2022-02-10 12:12:23.143,N,22100700,JDHCG04B1N,191,921,105,122.02,1600,1,967,NULL,396
33496907,2022-02-10 12:03:23.150,N,22100700,JDHCG04B1N,190,921,105,122.02,1600,1,967,NULL,396
33496539,2022-02-10 11:55:23.200,N,22400747,JDHSG37AMZ,194,895,432,71.02,1581,4,1135,NULL,396
33496517,2022-02-10 11:55:23.143,N,22200710,JDTL0550DN,182,857,0,90.83,0,2,457,1778,0
33496479,2022-02-10 11:54:53.153,N,22200710,JDTL0550DN,182,857,0,90.83,0,2,457,1778,0
33496401,2022-02-10 11:53:23.140,N,22400747,JDTL0550DN,194,895,432,71.02,0,4,1135,NULL,0
33496266,2022-02-10 11:50:53.140,N,22400746,JDHSG37AMZ,187,1150,0,105.15,1588,3,1340,NULL,396
33495894,2022-02-10 11:43:53.140,N,22100699,JDTL0550DN,188,828,0,0,1535,5,730,1600,22
33495479,2022-02-10 11:35:53.120,N,22100700,JDTL0550DN,190,921,105,122.02,1600,1,967,NULL,396
33495447,2022-02-10 11:35:26.230,N,22100699,JDTL0550DN,188,828,0,0,0,5,730,1600,0
33495246,2022-02-10 11:31:23.130,N,22100700,JDTL0550DN,190,921,105,0,0,1,967,NULL,0
33495200,2022-02-10 11:30:23.113,N,22400746,JDHSG37AMZ,187,1150,0,105.15,1588,3,1340,NULL,396
33495083,2022-02-10 11:27:53.120,N,22200709,JDHCG04B1N,180,1118,0,79.15,1650,2,959,NULL,418
33494385,2022-02-10 11:12:53.130,N,22400746,JDHSG37AMZ,187,1150,0,105.15,0,3,1340,NULL,396
33494361,2022-02-10 11:12:53.110,N,22700735,JDHSH41AMN,64,1230,0,0,0,3,NULL,NULL,0
33494353,2022-02-10 11:12:23.113,N,22700735,JDHSH41AMN,64,1230,0,0,0,3,NULL,NULL,0
33494287,2022-02-10 11:11:23.097,N,22400746,JDHSG37AMZ,187,1150,0,105.15,1552,4,1006,NULL,396
33494208,2022-02-10 11:09:53.100,N,22100698,JDTL0550DN,185,853,113,185.67,1556,5,1090,NULL,22
33494180,2022-02-10 11:09:23.103,N,22400746,JDHSG37AMZ,187,1150,0,105.15,1552,4,1006,NULL,396
33493866,2022-02-10 11:03:23.103,N,22400746,JDHCG04ACN,187,1150,0,105.15,0,4,1006,NULL,0
33493837,2022-02-10 11:02:53.107,N,22200709,JDHCG04B1N,180,1118,0,79.15,1650,2,959,NULL,418
33493723,2022-02-10 11:00:23.097,N,22400745,JDHTR46TCZ,183,1310,16,672.58,1532,4,1008,1211,352
33493361,2022-02-10 10:52:53.090,N,22200709,JDT0550DCN,180,1118,0,0,1650,2,959,NULL,418
33493282,2022-02-10 10:51:23.083,N,22200709,JDT0550DCN,180,1118,0,0,0,2,959,NULL,0
33492858,2022-02-10 10:42:53.057,N,22200708,JDHCG04ACN,186,1085,0,115.6,1568,1,1842,NULL,396
33492512,2022-02-10 10:36:53.057,N,22200708,JDHCG04ACN,185,1085,0,115.6,1568,1,1842,NULL,396
33492303,2022-02-10 10:32:53.060,N,22100698,JDTL0550DN,184,853,113,185.67,1556,5,1090,NULL,22
33491866,2022-02-10 10:23:23.053,N,22200708,JDHCG04B1N,185,1085,0,115.6,1568,1,1842,NULL,396
33491834,2022-02-10 10:22:53.043,N,22200708,JDHCG04B1N,185,1085,0,115.6,0,1,1842,NULL,396
33491801,2022-02-10 10:22:23.040,N,22100699,JDHCG04B1N,188,828,0,0,0,1,730,1600,0
33491776,2022-02-10 10:21:53.047,N,22100699,JDHCG04B1N,188,828,0,0,0,1,730,1600,0
33491464,2022-02-10 10:14:23.033,N,22100698,JDTL0550DN,184,853,113,185.67,1556,5,1090,NULL,0
33491266,2022-02-10 10:09:53.037,N,22200708,JDHCG04B1N,185,1085,0,129.55,1577,2,958,NULL,396
33490948,2022-02-10 10:03:23.030,N,22400745,JDHTR46TCZ,183,1310,16,672.58,1532,4,1008,1211,352
33490923,2022-02-10 10:02:53.023,N,22100698,JDTL0550DN,184,853,113,185.67,0,5,1090,NULL,0
33490677,2022-02-10 09:57:53.030,N,22400745,JDHTR46TCZ,183,1310,16,672.58,0,4,1008,1211,0
33490594,2022-02-10 09:55:53.033,N,22200707,JDHCG04ACN,187,798,115,0,1547,5,959,NULL,396
33490451,2022-02-10 09:52:53.087,N,22200708,JDHCG04B1N,186,1085,0,0,1577,2,958,NULL,0
33490426,2022-02-10 09:52:53.030,N,22100697,JDHTR46TCZ,179,1081,0,77.83,1524,3,1213,1165,352
33489799,2022-02-10 09:39:53.087,N,22100698,JDHCG04B1N,184,853,113,193.97,0,1,1090,NULL,0
33489791,2022-02-10 09:39:53.040,N,22100698,JDHCG04B1N,184,853,113,193.97,0,1,1090,NULL,0
33489248,2022-02-10 09:29:23.010,N,22100697,JDHTR46TCZ,179,1081,0,77.83,1524,3,1213,1165,352
33488651,2022-02-10 09:15:52.987,N,22200707,JDHCG04ACN,187,798,115,0,1547,5,959,NULL,396
33488443,2022-02-10 09:11:52.983,N,22200707,JDHCG04ACN,187,798,115,0,0,5,959,NULL,396
33488390,2022-02-10 09:10:52.983,N,22100697,JDHTR46TCZ,179,1081,0,77.83,1524,3,1213,1165,0
33488288,2022-02-10 09:08:22.990,N,22400744,JDHTR46TCZ,200,1220,91,43.82,1587,4,NULL,1257,352
33488215,2022-02-10 09:06:52.967,N,22200706,JDHCG04ACN,184,929,67,56.93,1549,5,1254,NULL,396
33488172,2022-02-10 09:06:22.983,N,22100697,JDHTR46TCZ,179,1081,0,77.83,0,3,1213,1165,0
33487689,2022-02-10 08:56:22.983,N,22100697,JDTL0550DN,179,1081,0,77.83,0,1,1213,1165,0
33487659,2022-02-10 08:55:52.970,N,22100697,JDTL0550DN,179,1081,0,77.83,0,1,1213,1165,0
33487319,2022-02-10 08:48:22.977,N,22200707,JDT0550DCN,187,798,115,0,0,2,959,NULL,396
33487268,2022-02-10 08:47:22.967,N,22400744,JDHTR46TCZ,199,1220,91,43.82,1587,4,NULL,1257,352
33487130,2022-02-10 08:44:22.977,N,22200707,JDT0550DCN,187,798,115,0,0,2,959,NULL,396
33486962,2022-02-10 08:40:52.970,N,22200707,JDT0550DCN,187,798,115,0,0,2,959,NULL,396
33486887,2022-02-10 08:39:22.963,N,22200707,JDT0550DCN,187,798,115,0,0,2,959,NULL,0
33486365,2022-02-10 08:28:22.957,N,22400744,JDHTR46TCZ,199,1220,91,0,1587,4,NULL,1257,352
33486266,2022-02-10 08:25:52.950,N,22400744,JDHTR46TCZ,199,1220,91,0,0,4,NULL,1257,0
33486198,2022-02-10 08:24:52.953,N,22200706,JDHCG04ACN,184,929,67,56.93,1549,5,1254,NULL,396
33486146,2022-02-10 08:23:52.950,N,22400743,JDHTR46TCZ,193,1140,123,121.1,1550,3,1018,1233,396
33486018,2022-02-10 08:21:22.940,N,22200706,JDHCG04ACN,184,929,67,56.93,0,5,1254,NULL,396
33485718,2022-02-10 08:15:22.927,N,22100696,JDHCG04ACN,206,825,159,89.7,1598,5,1093,NULL,418
33485426,2022-02-10 08:08:52.913,N,22400743,JDHTR46TCZ,193,1140,123,121.1,1550,3,1018,1233,396
33485278,2022-02-10 08:05:22.923,N,22400743,JDHTR46TCZ,193,1140,123,121.1,0,3,1018,1233,396
33485223,2022-02-10 08:03:52.927,N,22400743,JDHTR46TCZ,193,1140,123,121.1,1535,4,326,1233,396
33484536,2022-02-10 07:46:52.917,N,22400743,JDHTR46TCZ,193,1140,123,121.1,1535,4,326,1233,396
33484454,2022-02-10 07:44:22.897,N,22100696,JDHCG04ACN,205,825,159,89.7,1598,5,1093,NULL,418
33484346,2022-02-10 07:41:52.907,N,22200706,JDTL0550DN,184,929,67,69.38,1584,2,958,NULL,396
33484315,2022-02-10 07:41:22.903,N,22400743,JDHTR46TCZ,193,1140,123,121.1,0,4,326,1233,0
33484178,2022-02-10 07:38:22.900,N,22200706,JDTL0550DN,184,929,67,0,1584,2,958,NULL,396
33484133,2022-02-10 07:37:22.900,N,22100695,JDHTR46TCZ,185,1030,98,152.7,1523,4,270,1164,396
33484064,2022-02-10 07:35:52.920,N,22200706,JDTL0550DN,184,929,67,0,0,2,958,NULL,0
33483797,2022-02-10 07:29:52.893,N,22200705,JDHCG04ACN,133,0,0,52.03,1560,1,2029,NULL,418
33483684,2022-02-10 07:27:52.893,N,22100696,JDTL0550DN,205,825,159,89.7,1598,5,1093,NULL,418
33483610,2022-02-10 07:26:22.897,N,22100695,JDHTR46TCZ,184,1030,98,152.7,1523,4,270,1164,396
33483500,2022-02-10 07:23:52.890,N,22100696,JDTL0550DN,205,825,159,89.7,0,5,1093,NULL,418
33483363,2022-02-10 07:20:52.890,N,22200705,JDHCG04ACN,133,0,0,52.03,1560,1,2029,NULL,418
33483163,2022-02-10 07:16:22.880,N,22200705,JDHCG04ACN,133,0,0,52.03,0,1,2029,NULL,418
33483074,2022-02-10 07:14:22.883,N,22200705,JDHCG04ACN,133,0,0,100.93,1565,2,961,NULL,418
33482880,2022-02-10 07:09:22.877,N,22100696,JDTL0550DN,205,825,159,0,0,1,1093,NULL,418
33482832,2022-02-10 07:08:22.860,N,22100696,JDTL0550DN,205,825,159,0,0,1,1093,NULL,0
33482698,2022-02-10 07:05:22.873,N,22100695,JDHTR46TCZ,184,1030,98,152.7,1523,4,270,1164,0
33482223,2022-02-10 06:54:22.860,N,22200705,JDHCG04ACN,133,0,0,100.93,1565,2,961,NULL,418
33482202,2022-02-10 06:53:52.857,N,22100695,JDHCG04ACN,184,1030,98,152.7,0,4,270,1164,0
33481832,2022-02-10 06:42:52.860,N,22100695,JDHCG04ACN,184,1030,98,152.7,0,1,270,1164,0
33481788,2022-02-10 06:41:52.860,N,22100695,JDHCG04ACN,184,1030,98,152.7,0,1,270,1164,0
33481531,2022-02-10 06:34:22.853,N,22400742,JDHCG04ACN,205,928,138,243.33,1620,4,1003,NULL,396
33481391,2022-02-10 06:30:52.863,N,22200704,JDHTR46TCZ,178,857,299,197.12,1572,1,513,1194,330
33480542,2022-02-10 06:11:52.813,N,22200704,JDHTR46TCZ,177,857,299,197.12,1572,1,513,1194,330
33480066,2022-02-10 05:59:22.820,N,22400742,JDHCG04ACN,205,928,138,243.33,1620,4,1003,NULL,396
33479846,2022-02-10 05:55:22.813,N,22200704,JDHTR46TCZ,177,857,299,197.12,0,1,513,1194,330
33479827,2022-02-10 05:54:52.820,N,22400742,JDTL0550DN,205,928,138,243.33,0,4,1003,NULL,0
33479806,2022-02-10 05:53:52.820,N,22200704,JDHTR46TCZ,177,857,299,239.47,1549,2,NULL,1194,330
33479738,2022-02-10 05:52:22.813,N,22200704,JDHTR34ALN,177,857,299,239.47,1549,2,NULL,1194,330
33479312,2022-02-10 05:41:22.790,N,22200704,JDHCG04ACN,177,857,299,0,0,2,NULL,1194,0
33479245,2022-02-10 05:39:52.783,N,22100694,JDHSH41AMN,190,1153,0,134.63,1607,1,1004,NULL,396
33478940,2022-02-10 05:32:22.780,N,22400741,JDHCG04ACN,206,784,153,179.87,0,3,1229,NULL,396
33478928,2022-02-10 05:31:52.780,N,22400741,JDHCG04ACN,206,784,153,179.87,0,3,1229,NULL,396
33478709,2022-02-10 05:27:22.777,N,22400741,JDHCG04ACN,206,784,153,179.87,1560,3,1229,NULL,396
33478716,2022-02-10 05:27:22.777,N,22400741,JDHCG04ACN,206,784,153,179.87,1560,3,1229,NULL,396
33478318,2022-02-10 05:18:52.767,N,22400741,JDHCG04ACN,206,784,153,179.87,0,3,1229,NULL,396
33478166,2022-02-10 05:15:52.757,N,22400741,JDHCG04ACN,206,784,153,191.65,1598,4,1229,NULL,396
33477862,2022-02-10 05:09:22.763,N,22400741,JDHCG04ACN,206,784,153,191.65,1598,4,1229,NULL,396
33477490,2022-02-10 05:00:22.747,N,22200703,JDTL0550DN,193,894,87,240,1548,5,659,1493,66
33477135,2022-02-10 04:54:22.747,N,22400741,JDHCG04ACN,206,784,153,0,1598,4,1229,NULL,396
33477073,2022-02-10 04:53:22.743,N,22100694,JDHSH41AMN,189,1153,0,134.63,1607,1,1004,NULL,396
33477024,2022-02-10 04:51:52.747,N,22400741,JDTL0550DN,206,784,153,0,0,4,1229,NULL,0
33476907,2022-02-10 04:49:52.753,N,22100694,JDHCG04ACN,189,1153,0,0,0,1,1004,NULL,0
33476526,2022-02-10 04:41:52.740,N,22400740,JDHCG04ACN,201,1130,0,0,1552,4,1114,NULL,396
33476079,2022-02-10 04:31:22.730,N,22200702,JDHSH41AMN,212,1188,0,78.12,1582,1,2137,NULL,418
33475511,2022-02-10 04:18:52.713,N,22200703,JDTL0550DN,192,894,87,240,1548,5,659,1493,66
33474879,2022-02-10 04:05:52.693,N,22200703,JDHCG04ACN,192,894,87,16.75,0,5,659,1493,0
33474500,2022-02-10 03:57:22.707,N,22200702,JDHSH41AMN,211,1188,0,78.12,1582,1,2137,NULL,418
33474471,2022-02-10 03:56:52.703,N,22400740,JDHCG04ACN,201,1130,0,0,1552,4,1114,NULL,396
33474099,2022-02-10 03:48:52.700,N,22200702,JDHSH41AMN,211,1188,0,78.12,0,1,2137,NULL,418
33474049,2022-02-10 03:47:52.727,N,22100692,JDHSH41AMN,186,946,0,366.22,1576,3,2903,NULL,396
